"STATISTIC","Statistic Label","TLIST(A1)","Year","C02935V03550","Airports in Ireland","C02191V04000","Country","C02354V02832","Direction","C02936V03551","Flight Type","UNIT","VALUE"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BG","Bulgaria","4","Departure","1","Scheduled","Thousand","15.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","BG","Bulgaria","4","Departure","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","-","All directions","-","All flights","Thousand","20"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","-","All directions","1","Scheduled","Thousand","20"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","-","All directions","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","3","Arrival","-","All flights","Thousand","9.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","3","Arrival","1","Scheduled","Thousand","9.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","3","Arrival","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","4","Departure","-","All flights","Thousand","10.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","4","Departure","1","Scheduled","Thousand","10.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HR","Croatia","4","Departure","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CY","Cyprus","-","All directions","-","All flights","Thousand","10.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CY","Cyprus","-","All directions","1","Scheduled","Thousand","10.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CY","Cyprus","-","All directions","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CY","Cyprus","3","Arrival","-","All flights","Thousand","5.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CY","Cyprus","3","Arrival","1","Scheduled","Thousand","5.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CY","Cyprus","3","Arrival","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CY","Cyprus","4","Departure","-","All flights","Thousand","5.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CY","Cyprus","4","Departure","1","Scheduled","Thousand","5.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CY","Cyprus","4","Departure","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CZ","Czechia","-","All directions","-","All flights","Thousand","46.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CZ","Czechia","-","All directions","1","Scheduled","Thousand","46.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CZ","Czechia","-","All directions","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CZ","Czechia","3","Arrival","-","All flights","Thousand","23.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CZ","Czechia","3","Arrival","1","Scheduled","Thousand","23.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CZ","Czechia","3","Arrival","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CZ","Czechia","4","Departure","-","All flights","Thousand","22.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CZ","Czechia","4","Departure","1","Scheduled","Thousand","22.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","CZ","Czechia","4","Departure","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DK","Denmark","-","All directions","-","All flights","Thousand","60.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DK","Denmark","-","All directions","1","Scheduled","Thousand","60"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DK","Denmark","-","All directions","2","Unscheduled","Thousand","0.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DK","Denmark","3","Arrival","-","All flights","Thousand","29.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DK","Denmark","3","Arrival","1","Scheduled","Thousand","29.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DK","Denmark","3","Arrival","2","Unscheduled","Thousand","0.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DK","Denmark","4","Departure","-","All flights","Thousand","30.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DK","Denmark","4","Departure","1","Scheduled","Thousand","30.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DK","Denmark","4","Departure","2","Unscheduled","Thousand","0.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","EE","Estonia","-","All directions","-","All flights","Thousand","4.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","EE","Estonia","-","All directions","1","Scheduled","Thousand","4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","EE","Estonia","-","All directions","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","EE","Estonia","3","Arrival","-","All flights","Thousand","1.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","EE","Estonia","3","Arrival","1","Scheduled","Thousand","1.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","EE","Estonia","3","Arrival","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","EE","Estonia","4","Departure","-","All flights","Thousand","2.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","EE","Estonia","4","Departure","1","Scheduled","Thousand","2.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","EE","Estonia","4","Departure","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FI","Finland","-","All directions","-","All flights","Thousand","18.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FI","Finland","-","All directions","1","Scheduled","Thousand","18.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FI","Finland","-","All directions","2","Unscheduled","Thousand","0.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FI","Finland","3","Arrival","-","All flights","Thousand","9.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FI","Finland","3","Arrival","1","Scheduled","Thousand","9.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FI","Finland","3","Arrival","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FI","Finland","4","Departure","-","All flights","Thousand","9.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FI","Finland","4","Departure","1","Scheduled","Thousand","9.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FI","Finland","4","Departure","2","Unscheduled","Thousand","0.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FR","France","-","All directions","-","All flights","Thousand","438.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FR","France","-","All directions","1","Scheduled","Thousand","430.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FR","France","-","All directions","2","Unscheduled","Thousand","8.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FR","France","3","Arrival","-","All flights","Thousand","220.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FR","France","3","Arrival","1","Scheduled","Thousand","215.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FR","France","3","Arrival","2","Unscheduled","Thousand","4.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FR","France","4","Departure","-","All flights","Thousand","218.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FR","France","4","Departure","1","Scheduled","Thousand","214.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","FR","France","4","Departure","2","Unscheduled","Thousand","3.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DE","Germany","-","All directions","-","All flights","Thousand","494.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DE","Germany","-","All directions","1","Scheduled","Thousand","492.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DE","Germany","-","All directions","2","Unscheduled","Thousand","1.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DE","Germany","3","Arrival","-","All flights","Thousand","245.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DE","Germany","3","Arrival","1","Scheduled","Thousand","245.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DE","Germany","3","Arrival","2","Unscheduled","Thousand","0.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DE","Germany","4","Departure","-","All flights","Thousand","248.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DE","Germany","4","Departure","1","Scheduled","Thousand","247.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","DE","Germany","4","Departure","2","Unscheduled","Thousand","1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","GR","Greece","-","All directions","-","All flights","Thousand","71.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","GR","Greece","-","All directions","1","Scheduled","Thousand","66.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","GR","Greece","-","All directions","2","Unscheduled","Thousand","4.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","GR","Greece","3","Arrival","-","All flights","Thousand","36.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","GR","Greece","3","Arrival","1","Scheduled","Thousand","33.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","GR","Greece","3","Arrival","2","Unscheduled","Thousand","2.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","GR","Greece","4","Departure","-","All flights","Thousand","35.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","GR","Greece","4","Departure","1","Scheduled","Thousand","32.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","GR","Greece","4","Departure","2","Unscheduled","Thousand","2.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HU","Hungary","-","All directions","-","All flights","Thousand","84.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HU","Hungary","-","All directions","1","Scheduled","Thousand","84.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HU","Hungary","-","All directions","2","Unscheduled","Thousand","0.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HU","Hungary","3","Arrival","-","All flights","Thousand","43.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HU","Hungary","3","Arrival","1","Scheduled","Thousand","43.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HU","Hungary","3","Arrival","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HU","Hungary","4","Departure","-","All flights","Thousand","41.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HU","Hungary","4","Departure","1","Scheduled","Thousand","41.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","HU","Hungary","4","Departure","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IT","Italy","-","All directions","-","All flights","Thousand","324.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IT","Italy","-","All directions","1","Scheduled","Thousand","317.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IT","Italy","-","All directions","2","Unscheduled","Thousand","6.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IT","Italy","3","Arrival","-","All flights","Thousand","164"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IT","Italy","3","Arrival","1","Scheduled","Thousand","160.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IT","Italy","3","Arrival","2","Unscheduled","Thousand","3.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IT","Italy","4","Departure","-","All flights","Thousand","160.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IT","Italy","4","Departure","1","Scheduled","Thousand","156.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","IT","Italy","4","Departure","2","Unscheduled","Thousand","3.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LV","Latvia","-","All directions","-","All flights","Thousand","60"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LV","Latvia","-","All directions","1","Scheduled","Thousand","60"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LV","Latvia","-","All directions","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LV","Latvia","3","Arrival","-","All flights","Thousand","29.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LV","Latvia","3","Arrival","1","Scheduled","Thousand","29.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LV","Latvia","3","Arrival","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LV","Latvia","4","Departure","-","All flights","Thousand","30.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LV","Latvia","4","Departure","1","Scheduled","Thousand","30.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LV","Latvia","4","Departure","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LT","Lithuania","-","All directions","-","All flights","Thousand","80.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LT","Lithuania","-","All directions","1","Scheduled","Thousand","80.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LT","Lithuania","-","All directions","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LT","Lithuania","3","Arrival","-","All flights","Thousand","40.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LT","Lithuania","3","Arrival","1","Scheduled","Thousand","40.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LT","Lithuania","3","Arrival","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LT","Lithuania","4","Departure","-","All flights","Thousand","39.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LT","Lithuania","4","Departure","1","Scheduled","Thousand","39.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LT","Lithuania","4","Departure","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LU","Luxembourg","-","All directions","-","All flights","Thousand","17.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LU","Luxembourg","-","All directions","1","Scheduled","Thousand","17.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LU","Luxembourg","-","All directions","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LU","Luxembourg","3","Arrival","-","All flights","Thousand","8.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LU","Luxembourg","3","Arrival","1","Scheduled","Thousand","8.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LU","Luxembourg","3","Arrival","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LU","Luxembourg","4","Departure","-","All flights","Thousand","8.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LU","Luxembourg","4","Departure","1","Scheduled","Thousand","8.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","LU","Luxembourg","4","Departure","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","MT","Malta","-","All directions","-","All flights","Thousand","31.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","MT","Malta","-","All directions","1","Scheduled","Thousand","31.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","MT","Malta","-","All directions","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","MT","Malta","3","Arrival","-","All flights","Thousand","15.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","MT","Malta","3","Arrival","1","Scheduled","Thousand","15.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","MT","Malta","3","Arrival","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","MT","Malta","4","Departure","-","All flights","Thousand","15.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","MT","Malta","4","Departure","1","Scheduled","Thousand","15.7"
